producer,consumer, energy
126,1,1.261404
126,2,21.9353
126,3,0.193461
126,4,12.3441
126,5,12.2967
126,6,0.389479
126,7,0.010475
126,8,10.5
126,9,180
126,10,22
126,11,15
126,12,72
126,13,75
126,14,116
126,22,0.048429
126,52,0.000664
126,123,3
126,125,6
9,127,1.3
10,127,0.13
11,127,7
13,127,1.8
45,127,0.2477485
47,127,0.002981023
51,127,0.01095201
52,127,1.03E-07
53,127,0.000518828
54,127,0.004259183
55,127,5.50E-06
56,127,0.00032027
60,127,8.63E-07
61,127,2.85E-06
63,127,1.40E-06
65,127,0.000589438
66,127,2.71E-07
70,127,5.44E-05
76,127,4.40E-05
77,127,0.000223572
78,127,0.000197275
79,127,0.000335675
80,127,0.000201311
81,127,1.01E-07
82,127,0.005922525
83,127,0.000112024
84,127,8.62E-07
85,127,0.003509126
86,127,0.000800555
87,127,0.000879863
88,127,1.97E-05
89,127,1.28E-07
90,127,6.17E-05
91,127,1.47E-05
92,127,0.004000669
96,127,3.05E-06
97,127,3.85E-08
98,127,0.007898174
99,127,1.91E-05
100,127,1.63E-08
15,128,93.61713
16,128,50.5165
17,128,5.629564
18,128,0.416118
19,128,2.012417
20,128,0.9496036
21,128,2.820862
22,128,0.5825159
23,128,1.808016
24,128,35.38025
25,128,4.11128
26,128,9.606857
27,128,0.2160327
28,128,0.01390549
29,128,0.01749315
30,128,0.7531382
31,128,0.80753
32,128,0.2280016
33,128,0.02755954
34,128,0.02888223
35,128,0.9818583
36,128,0.8569636
37,128,0.4491814
38,128,0.682153
39,128,0.05517269
40,128,0.134433
41,128,0.1569536
42,128,0.4443477
43,128,0.9909184
44,128,0.4765046
45,128,0.9172407
46,128,0.04179814
47,128,0.05627013
48,128,0.02420889
49,128,0.2414584
50,128,0.007417527
51,128,0.04086668
52,128,0.00190285
53,128,5.09E-05
54,128,0.01656258
55,128,0.000920134
56,128,0.001248387
57,128,0.01172158
58,128,0.000280109
59,128,0.1376741
60,128,0.001419308
61,128,0.005374257
62,128,0.01251804
63,128,0.006575366
64,128,0.001490723
65,128,0.009174979
